Wikidata_URI15	id	Company	Industry	Country	rating	Sales	Profits	Assets	Rank	DBpedia_URI	label	DBpedia_URI15	YAGO_URI15
http://www.wikidata.org/entity/Q26463	1	Industrial and Commercial Bank of China	Major Banks	China	237.3	134.8	37.8	2813.5	1	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China	high	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China	
http://www.wikidata.org/entity/Q26299	2	China Construction Bank	Regional Banks	China	202	113.1	30.6	2241	2	http://dbpedia.org/resource/China_Construction_Bank	high	http://dbpedia.org/resource/China_Construction_Bank	http://yago-knowledge.org/resource/China_Construction_Bank
http://www.wikidata.org/entity/Q192314	3	JPMorgan Chase	Major Banks	United States	191.4	108.2	21.3	2359.1	3	http://dbpedia.org/resource/JPMorgan_Chase	high	http://dbpedia.org/resource/JPMorgan_Chase	http://yago-knowledge.org/resource/JPMorgan_Chase
http://www.wikidata.org/entity/Q54173	4	General Electric	Conglomerates	United States	243.7	147.4	13.6	685.3	4	http://dbpedia.org/resource/General_Electric	high	http://dbpedia.org/resource/General_Electric	http://yago-knowledge.org/resource/General_Electric
	5	Exxon Mobil	Oil & Gas Operations	United States	400.4	420.7	44.9	333.8	5	http://dbpedia.org/resource/Exxon_Mobil	high	http://dbpedia.org/resource/ExxonMobil	
	6	HSBC Holdings	Major Banks	United Kingdom	201.3	104.9	14.3	2684.1	6	http://dbpedia.org/resource/HSBC_Holdings	high	http://dbpedia.org/resource/HSBC	
http://www.wikidata.org/entity/Q154950	7	Royal Dutch Shell	Oil & Gas Operations	Netherlands	213.1	467.2	26.6	360.3	7	http://dbpedia.org/resource/Royal_Dutch_Shell	high	http://dbpedia.org/resource/Royal_Dutch_Shell	http://yago-knowledge.org/resource/Royal_Dutch_Shell
http://www.wikidata.org/entity/Q26298	8	Agricultural Bank of China	Regional Banks	China	150.8	103	23	2124.2	8	http://dbpedia.org/resource/Agricultural_Bank_of_China	high	http://dbpedia.org/resource/Agricultural_Bank_of_China	http://yago-knowledge.org/resource/Agricultural_Bank_of_China
http://www.wikidata.org/entity/Q217583	9	Berkshire Hathaway	Investment Services	United States	252.8	162.5	14.8	427.5	9	http://dbpedia.org/resource/Berkshire_Hathaway	high	http://dbpedia.org/resource/Berkshire_Hathaway	http://yago-knowledge.org/resource/Berkshire_Hathaway
http://www.wikidata.org/entity/Q503182	10	PetroChina	Oil & Gas Operations	China	261.2	308.9	18.3	347.8	9	http://dbpedia.org/resource/PetroChina	high	http://dbpedia.org/resource/PetroChina	http://yago-knowledge.org/resource/PetroChina
http://www.wikidata.org/entity/Q790068	11	Bank of China	Major Banks	China	131.7	98.1	22.1	2033.8	11	http://dbpedia.org/resource/Bank_of_China	high	http://dbpedia.org/resource/Bank_of_China	http://yago-knowledge.org/resource/Bank_of_China
http://www.wikidata.org/entity/Q744149	12	Wells Fargo	Major Banks	United States	201.3	91.2	18.9	1423	12	http://dbpedia.org/resource/Wells_Fargo	high	http://dbpedia.org/resource/Wells_Fargo	http://yago-knowledge.org/resource/Wells_Fargo
http://www.wikidata.org/entity/Q287750	13	Chevron	Oil & Gas Operations	United States	232.5	222.6	26.2	233	13	http://dbpedia.org/resource/Chevron	high	http://dbpedia.org/resource/Chevron	
